date,value
1980-01,29.4841
1980-02,31.2197
1980-03,32.5026
1980-04,31.4167
1980-05,29.1597
1980-06,27.261
1980-07,26.394
1980-08,25.414
1980-09,26.1768
1980-10,26.5101
1980-11,27.1432
1980-12,26.7352
1981-01,27.5345
1981-02,31.2935
1981-03,31.9781
1981-04,31.5556
1981-05,28.8456
1981-06,28.4471
1981-07,25.7305
1981-08,25.2328
1981-09,25.9717
1981-10,27.938
1981-11,28.3736
1981-12,28.4016
1982-01,28.069
1982-02,30.0321
1982-03,30.8746
1982-04,30.1101
1982-05,28.7387
1982-06,27.909
1982-07,26.306
1982-08,25.8784
1982-09,26.2712
1982-10,27.2284
1982-11,28.9018
1982-12,28.9423
1983-01,27.4504
1983-02,31.9158
1983-03,32.7243
1983-04,31.9285
1983-05,30.1535
1983-06,27.399
1983-07,26.4366
1983-08,26.0679
1983-09,26.2115
1983-10,29.0465
1983-11,30.2962
1983-12,29.5171
1984-01,28.7788
1984-02,30.7234
1984-03,30.7796
1984-04,30.6281
1984-05,29.5761
1984-06,27.8333
1984-07,26.6013
1984-08,26.3505
1984-09,25.7242
1984-10,27.2983
1984-11,29.6878
1984-12,28.1589
1985-01,30.3288
1985-02,30.3588
1985-03,31.7051
1985-04,30.1547
1985-05,29.3616
1985-06,27.5644
1985-07,25.4485
1985-08,25.0008
1985-09,25.2789
1985-10,27.1802
1985-11,28.6704
1985-12,27.1356
1986-01,27.9038
1986-02,31.2987
1986-03,31.2629
1986-04,30.4772
1986-05,29.6511
1986-06,27.4442
1986-07,25.7773
1986-08,25.3628
1986-09,25.3597
1986-10,27.0046
1986-11,27.1317
1986-12,26.8052
1987-01,29.279
1987-02,31.782
1987-03,31.2974
1987-04,32.7662
1987-05,30.7821
1987-06,28.0665
1987-07,27.2066
1987-08,26.0769
1987-09,26.2478
1987-10,27.2454
1987-11,29.2299
1987-12,28.3984
1988-01,28.8008
1988-02,31.5861
1988-03,31.7777
1988-04,30.8682
1988-05,30.5485
1988-06,27.1758
1988-07,25.621
1988-08,25.3961
